name,f_latitude,f_longitude,distance,rating,popularity,break_fast_True,brunch_False,brunch_True,lunch_True,dinner_False,dinner_True,happy_hour_False,happy_hour_True,latitude,longitude,empty_slots,bikes
Electric Lemon,40.754711,-74.002209,146,7.3,0.9962278224226028,0,0,0,1,0,1,0,0,40.795,-73.9645,30,2
Peak NYC,40.754047,-74.000829,239,8.7,0.9886240816006576,0,0,1,1,0,1,0,0,40.7667405590595,-73.9790689945221,69,2
Friedman's,40.755299,-73.998432,312,8.5,0.9952515220546492,0,0,1,1,0,1,0,1,40.676368,-73.952918,21,0
Estiatorio Milos,40.753499,-74.001157,258,7.5,0.9931278905973484,0,0,0,1,0,1,0,0,40.751047,-73.93797,18,6
Shake Shack,40.753345,-74.000845,211,7.0,0.9799894055969804,0,0,1,1,0,1,0,0,40.801694,-73.957145,22,8
Hudson Yards Grill,40.753355,-74.000496,246,7.2,0.9811866206467336,0,0,1,1,0,1,0,0,40.805973,-73.964928,34,1
Sweetgreen,40.752639,-74.001035,369,8.5,0.9970520954826512,0,0,0,1,0,0,0,0,40.795508,-73.941606,3,19
Mercado Little Spain,40.752627,-74.001472,356,8.1,0.9991781023666376,0,0,1,1,0,1,0,0,40.7505853470215,-73.9946848154068,1,8
La Barra,40.752893,-74.001613,345,7.8,0.9895338700214026,0,0,1,1,0,1,0,0,40.6794388,-73.9680438,15,8
Bluestone Lane,40.753394,-74.000776,296,7.2,0.9801058015045953,0,0,1,1,0,1,0,0,40.6851443,-73.95380904,19,3
Kyma Hudson,40.754749,-73.997349,341,7.6,0.9959475220736524,0,0,1,0,0,1,0,0,40.7557327,-73.9236611,18,11
Via Trenta Pizzoteca,40.752852,-74.003097,332,7.3,0.9415858823641196,0,0,0,0,1,0,0,0,40.73652889,-74.00618026,3,21
Zou Zou's,40.752902,-73.998501,452,8.8,0.993325051012288,0,0,1,1,0,1,0,0,40.728846,-74.008591,1,77
Miznon,40.753499,-74.001157,290,6.8,0.9697489411535548,0,0,1,1,0,1,0,0,40.71269042,-73.98776323,17,22
Hudson Food Caters,40.753001,-74.003583,347,7.2,0.990241747173836,0,0,0,0,0,0,0,0,40.71782143,-73.97628939,15,2
Jajaja Plantas Mexicana,40.752784,-73.999643,440,8.0,0.9897975423835508,0,0,1,1,0,1,0,0,40.69794,-73.96986848,8,14
Finn’s Bagels,40.756224,-73.998163,359,7.2,0.99795950847671,1,0,1,1,0,0,0,0,40.71850211,-73.98329859,46,12
Kahlo,40.75216,-74.002764,402,7.5,0.9828589210336908,0,0,0,0,0,1,0,0,40.7945663,-73.9362541,18,6
Chef's Table At Brooklyn Fare,40.756113,-73.99628,484,8.5,0.9838233442682142,0,0,0,0,0,1,0,0,40.6747055,-74.0075572,1,35
Spanish Diner,40.752521,-74.00138,392,7.4,0.9958121227525494,0,0,1,1,0,1,0,0,40.76030096,-73.99884222,42,5
Daily Provisions,40.752601,-73.998828,463,8.0,0.990362893934823,1,0,1,1,0,0,0,0,40.8013434,-73.9711457439,51,2
Umami Burger,40.753219,-73.999678,359,7.0,0.9103015129092564,0,0,0,1,0,1,0,0,40.67363551341504,-74.01195555925369,3,20
Mar,40.752948,-74.001572,360,7.0,0.7758499870539246,0,0,0,0,0,0,0,0,40.787801,-73.953559,30,5
Whitmans,40.751872,-74.001442,469,7.7,0.9952990305883694,0,0,1,1,0,1,0,0,40.6772744,-73.98282002,7,17
Vitos Slices And Ices,40.754412,-73.995339,594,8.6,0.992408136311485,0,0,0,1,0,1,0,0,40.6765304,-73.97846879,27,11
Sergimmo Salumeria,40.754357,-73.995381,589,8.5,0.9682880537416534,0,0,1,1,0,0,1,0,40.7862586,-73.94552579,18,7
H-Yard Gourmet Deli,40.754081,-73.995588,576,7.8,0.9899329417046536,1,0,0,1,0,0,0,0,40.71019,-73.93734,4,16
Farida,40.755569,-73.994467,630,8.5,0.9755354805606956,0,0,1,0,0,1,0,0,40.68683208,-73.9796772,7,27
Tavola,40.755348,-73.994633,620,8.3,0.9887428529349584,0,1,0,1,0,1,0,1,40.71406667,-73.99293911,12,17
Porteno Restaurant,40.750442,-74.002434,611,8.2,0.9779512895003764,0,0,1,1,0,1,1,0,40.73020660529954,-73.99102628231049,16,71
Il Piccolo Ristoro,40.750929,-74.002409,557,7.6,0.9765592894623696,1,0,1,1,0,1,0,0,40.70539,-73.92976,5,13
Uncle Jack's Steakhouse - Westside,40.753698,-73.995792,574,7.7,0.9776899925649144,0,0,1,1,0,1,0,1,40.713811,-73.93515,7,12
Zoob Zib,40.754467,-73.995298,573,7.6,0.9831320951025828,0,0,1,1,0,1,0,1,40.706237,-73.933871,2,27
Aiyara Thai,40.755018,-73.994883,627,7.7,0.9686942517049624,0,0,0,1,0,1,0,0,40.702831,-73.9333,9,11
Il Punto Ristorante,40.756105,-73.994576,633,7.7,0.9844148255130328,0,0,1,1,0,1,0,1,40.700003,-73.92834,15,7
Avocaderia,40.75177,-74.005194,525,6.9,0.9446216776688512,0,0,0,1,0,0,0,0,40.704425,-73.92836,3,20
Death Ave,40.751099,-74.00211,533,6.8,0.9947099247702368,0,0,1,1,0,1,0,1,40.7027,-73.92095,4,21
Skylight Diner,40.753296,-73.996693,530,6.8,0.9959498975003384,1,0,1,1,0,1,1,0,40.69308257,-73.97178913,23,5
Patiala,40.753372,-73.995866,579,7.0,0.9932395356515914,0,1,0,1,0,1,1,0,40.76500525,-73.95818491,57,1
Kashmir 9,40.754963,-73.994924,601,7.2,0.9404908106618652,0,0,0,0,0,0,0,0,40.7612274,-73.96094022,34,3
North River Lobster Company,40.761824,-74.002578,683,7.5,0.9814004090484754,0,1,0,1,0,1,0,1,40.77632142182271,-73.96427392959595,41,4
Pio Pio,40.760587,-73.994531,812,8.9,0.9931373923040926,0,0,1,1,0,1,0,1,40.68650065,-73.96563307,14,3
Bagels & More,40.753425,-73.995912,604,6.9,0.9896122591020412,1,0,1,1,0,0,0,0,40.69766564,-73.98476437,16,2
Aura Thai,40.754467,-73.995298,564,6.6,0.0318117141791594,0,0,1,1,0,1,0,0,40.72755146730012,-74.07106071710587,5,12
Mercato,40.756189,-73.993487,725,7.7,0.9798017468887849,0,1,0,0,0,1,1,0,40.70140317257725,-73.98672670125961,5,19
Chez Josephine,40.758513,-73.99336,770,7.9,0.9795713305002413,0,0,1,0,0,1,0,0,40.7934337,-73.94945003,13,8
Mémé Mediterranean,40.760902,-73.994808,839,8.7,0.983806716281412,0,0,1,1,0,1,1,0,40.6787242,-73.99599099,18,3
Unidentified Flying Chicken Hell's Kitchen,40.756726,-73.993596,704,7.3,0.9255066191264606,0,0,0,0,0,0,0,0,40.804213,-73.96699104,19,3
Siblings NYC,40.755569,-73.994467,630,6.8,0.563779018806253,0,0,0,0,0,0,1,0,40.6777287,-73.99364123,10,42
Little Pie Company,40.759377,-73.993307,848,8.6,0.9898046686636088,0,1,0,0,0,0,1,0,40.75594159,-74.0021163,3,72
